縣市,100,101,102,103,104,105,106,107
宜蘭縣,3,5,5,5,5,0,0,0
基隆市,0,2,3,2,3,2,2,2
臺北市,5,5,5,5,5,5,5,5
新北市,4,4,0,0,0,0,0,0
桃園縣,12,12,12,10,0,0,0,0
新竹市,1,1,11,11,11,9,8,7
新竹縣,0,0,0,0,0,0,0,0
苗栗縣,4,4,5,5,5,5,5,5
臺中市,10,9,8,9,9,9,0,0
南投縣,0,0,4,4,4,2,2,3
彰化縣,4,4,4,4,4,4,4,4
雲林縣,10,8,9,0,3,3,3,6
嘉義市,5,4,4,4,6,7,7,6
嘉義縣,0,0,0,0,0,0,0,0
臺南市,13,11,11,8,10,10,11,11
高雄市,4,4,4,4,4,3,1,4
屏東縣,3,5,9,9,9,9,8,8
台東縣,4,3,0,0,0,0,0,0
花蓮縣,9,9,9,9,9,8,6,9
澎湖縣,3,3,4,4,4,4,3,3
金門縣,0,0,0,0,0,0,0,0
連江縣,0,0,0,0,0,0,0,0
臺東縣,0,0,4,4,3,5,5,3
桃園市,0,0,0,0,8,8,8,0
