縣市,100,101,102,103,104,105,106,107
宜蘭縣,18,16,15,16,17,17,17,17
基隆市,15,15,14,14,15,14,14,15
臺北市,0,0,0,0,0,0,0,0
新北市,50,52,0,0,0,0,0,0
桃園縣,36,36,39,40,0,0,0,0
新竹市,21,18,12,12,12,13,12,12
新竹縣,11,10,11,11,11,11,9,10
苗栗縣,13,11,13,13,13,13,13,13
臺中市,69,71,72,72,75,74,13,15
南投縣,32,30,31,32,30,28,28,28
彰化縣,45,46,47,48,48,49,47,46
雲林縣,16,16,16,16,16,17,18,18
嘉義市,6,6,8,10,12,12,12,12
嘉義縣,5,6,5,6,6,6,6,6
臺南市,40,41,41,40,41,39,40,42
高雄市,11,11,12,12,12,12,12,12
屏東縣,31,29,27,27,28,27,28,27
台東縣,13,13,0,0,0,0,0,0
花蓮縣,13,12,15,15,15,15,15,14
澎湖縣,9,9,9,9,9,8,8,8
金門縣,5,6,6,6,6,5,6,6
連江縣,0,0,0,0,0,0,0,0
臺東縣,0,0,12,11,12,12,13,13
桃園市,0,0,0,0,39,39,41,0
