縣市,100,101,102,103,104,105,106,107
宜蘭縣,3,5,5,5,5,0,0,0
基隆市,0,2,3,2,3,2,2,2
臺北市,5,5,5,5,5,5,5,5
新北市,3,2,0,0,0,0,0,0
桃園縣,12,12,12,10,0,0,0,0
新竹市,0,0,10,10,10,8,7,6
新竹縣,0,0,0,0,0,0,0,0
苗栗縣,3,3,3,3,3,4,4,4
臺中市,10,9,8,9,9,9,0,0
南投縣,0,0,4,4,4,2,2,2
彰化縣,3,3,3,3,3,3,3,3
雲林縣,10,8,9,0,3,3,3,6
嘉義市,5,4,4,4,6,7,7,6
嘉義縣,0,0,0,0,0,0,0,0
臺南市,9,7,7,4,6,6,7,7
高雄市,4,4,4,4,4,3,1,4
屏東縣,2,4,8,8,8,8,7,7
台東縣,2,1,0,0,0,0,0,0
花蓮縣,9,9,9,9,9,8,6,9
澎湖縣,3,3,4,4,4,4,3,3
金門縣,0,0,0,0,0,0,0,0
連江縣,0,0,0,0,0,0,0,0
臺東縣,0,0,1,1,0,1,1,1
桃園市,0,0,0,0,8,8,8,0
