縣市,100,101,102,103,104,105,106,107
宜蘭縣,7,8,9,9,10,10,10,10
基隆市,1,0,2,2,2,2,2,2
臺北市,2,2,1,1,3,4,4,4
新北市,3,5,0,0,0,0,0,0
桃園縣,6,7,7,8,0,0,0,0
新竹市,3,3,3,2,3,4,4,4
新竹縣,1,2,2,2,2,2,2,2
苗栗縣,2,2,2,2,2,3,4,5
臺中市,17,17,21,21,20,22,2,3
南投縣,3,5,5,5,6,4,4,4
彰化縣,12,12,12,11,11,13,12,13
雲林縣,2,2,4,3,3,4,4,4
嘉義市,1,1,1,3,3,3,3,5
嘉義縣,1,1,1,1,1,1,1,1
臺南市,16,16,18,19,20,19,20,18
高雄市,3,2,3,3,4,4,4,3
屏東縣,3,3,4,3,5,3,3,3
台東縣,1,1,0,0,0,0,0,0
花蓮縣,2,3,3,2,2,2,4,4
澎湖縣,1,1,1,1,1,1,1,1
金門縣,1,1,1,1,1,1,1,1
連江縣,1,1,1,1,1,1,1,1
臺東縣,0,0,1,1,1,1,2,2
桃園市,0,0,0,0,9,10,10,0
