縣市,100,101,102,103,104,105,106,107
宜蘭縣,17,15,15,16,16,16,16,16
基隆市,13,13,12,13,14,13,13,14
臺北市,0,0,0,0,0,0,0,0
新北市,47,50,0,0,0,0,0,0
桃園縣,30,31,37,37,0,0,0,0
新竹市,18,18,12,12,12,12,12,12
新竹縣,10,10,11,11,11,11,9,8
苗栗縣,11,11,12,11,12,12,12,12
臺中市,66,68,68,69,70,70,12,12
南投縣,25,23,24,25,25,25,26,27
彰化縣,42,45,45,46,46,44,43,43
雲林縣,15,15,15,16,16,16,17,17
嘉義市,6,6,8,10,12,12,11,12
嘉義縣,4,5,5,6,6,6,6,6
臺南市,38,38,39,38,39,37,38,40
高雄市,11,11,12,12,12,12,12,12
屏東縣,17,18,21,20,22,23,24,24
台東縣,10,10,0,0,0,0,0,0
花蓮縣,13,11,13,13,13,13,13,13
澎湖縣,9,9,9,9,9,8,8,7
金門縣,5,5,5,4,4,5,5,5
連江縣,0,0,0,0,0,0,0,0
臺東縣,0,0,11,11,11,11,11,12
桃園市,0,0,0,0,37,37,37,0
