年度,縣市,特教班特教,特教班一般,特教班代理,特教班小計,資源班特教,資源班一般,資源班代理,資源班小計,資源教室特教,資源教室一般,資源教室代理,資源教室小計,數理班特教,數理班一般,數理班代理,數理班小計,語文班特教,語文班一般,語文班代理,語文班小計,舞蹈班特教,舞蹈班一般,舞蹈班代理,舞蹈班小計,音樂班特教,音樂班一般,音樂班代理,音樂班小計,美術班特教,美術班一般,美術班代理,美術班小計,總計,
100,宜蘭縣,17,0,1,18,7,0,2,9,0,0,0,0,0,13,0,13,0,7,0,7,0,4,0,4,0,2,0,2,0,3,0,3,56,
100,基隆市,13,1,1,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,19,
100,臺北市,0,0,0,0,2,0,0,2,0,0,0,0,0,9,0,9,0,3,0,3,0,0,0,0,1,2,0,3,0,5,0,5,22,
100,新北市,47,0,3,50,3,0,0,3,2,20,2,24,0,1,0,1,0,1,0,1,0,0,0,0,0,10,0,10,1,3,0,4,93,
100,桃園縣,30,0,6,36,6,0,0,6,10,5,1,16,0,3,0,3,0,3,0,3,2,0,0,2,0,3,0,3,0,12,0,12,81,
100,新竹市,18,0,3,21,3,0,0,3,2,6,0,8,2,27,0,29,0,12,0,12,0,0,0,0,0,20,0,20,1,0,0,1,94,
100,新竹縣,10,0,1,11,1,0,0,1,4,0,3,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20,
100,苗栗縣,11,0,2,13,2,0,0,2,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,26,
100,臺中市,66,0,3,69,17,1,1,19,3,28,5,36,0,27,0,27,0,26,0,26,2,10,0,12,0,9,0,9,0,10,0,10,208,
100,南投縣,25,0,7,32,3,0,0,3,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,41,
100,彰化縣,42,0,3,45,12,0,1,13,0,1,0,1,0,18,0,18,0,16,0,16,0,0,0,0,0,3,0,3,1,3,0,4,100,
100,雲林縣,15,0,1,16,2,0,0,2,1,5,0,6,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,63,
100,嘉義市,6,0,0,6,1,0,0,1,0,1,0,1,0,12,0,12,0,13,0,13,1,8,0,9,0,4,0,4,0,5,0,5,51,
100,嘉義縣,4,0,1,5,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
