縣市,特教班特教,特教班一般,特教班代理,特教班小計,資源班特教,資源班一般,資源班代理,資源班小計,資源教室特教,資源教室一般,資源教室代理,資源教室小計,數理班特教,數理班一般,數理班代理,數理班小計,語文班特教,語文班一般,語文班代理,語文班小計,舞蹈班特教,舞蹈班一般,舞蹈班代理,舞蹈班小計,音樂班特教,音樂班一般,音樂班代理,音樂班小計,美術班特教,美術班一般,美術班代理,美術班小計,總計,
宜蘭縣,17,0,1,18,7,0,2,9,0,0,0,0,0,13,0,13,0,7,0,7,0,4,0,4,0,2,0,2,0,3,0,3,56,
基隆市,13,1,1,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,19,
臺北市,0,0,0,0,2,0,0,2,0,0,0,0,0,9,0,9,0,3,0,3,0,0,0,0,1,2,0,3,0,5,0,5,22,
新北市,47,0,3,50,3,0,0,3,2,20,2,24,0,1,0,1,0,1,0,1,0,0,0,0,0,10,0,10,1,3,0,4,93,
桃園縣,30,0,6,36,6,0,0,6,10,5,1,16,0,3,0,3,0,3,0,3,2,0,0,2,0,3,0,3,0,12,0,12,81,
新竹市,18,0,3,21,3,0,0,3,2,6,0,8,2,27,0,29,0,12,0,12,0,0,0,0,0,20,0,20,1,0,0,1,94,
新竹縣,10,0,1,11,1,0,0,1,4,0,3,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20,
苗栗縣,11,0,2,13,2,0,0,2,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,26,
臺中市,66,0,3,69,17,1,1,19,3,28,5,36,0,27,0,27,0,26,0,26,2,10,0,12,0,9,0,9,0,10,0,10,208,
南投縣,25,0,7,32,3,0,0,3,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,41,
彰化縣,42,0,3,45,12,0,1,13,0,1,0,1,0,18,0,18,0,16,0,16,0,0,0,0,0,3,0,3,1,3,0,4,100,
雲林縣,15,0,1,16,2,0,0,2,1,5,0,6,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,63,
嘉義市,6,0,0,6,1,0,0,1,0,1,0,1,0,12,0,12,0,13,0,13,1,8,0,9,0,4,0,4,0,5,0,5,51,
嘉義縣,4,0,1,5,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
臺南市,38,0,2,40,16,13,0,29,2,22,0,24,0,9,0,9,1,8,0,9,2,2,1,5,0,10,0,10,4,9,0,13,139,
高雄市,11,0,0,11,3,0,0,3,7,14,0,21,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,48,
屏東縣,17,0,14,31,3,1,1,5,2,2,3,7,0,18,0,18,1,5,0,6,0,0,0,0,0,8,0,8,1,2,0,3,78,
台東縣,10,0,3,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,18,
花蓮縣,13,0,0,13,2,1,0,3,0,0,0,0,0,6,0,6,0,8,0,8,0,0,0,0,0,0,0,0,0,9,0,9,39,
澎湖縣,9,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,16,
金門縣,5,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
連江縣,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
總計,407,1,51,459,89,16,6,111,33,112,15,160,2,180,0,182,2,103,0,105,8,24,1,33,2,82,0,84,11,83,0,94,"1,228",
