縣市,特教班特教,特教班一般,特教班代理,特教班小計,資源班特教,資源班一般,資源班代理,資源班小計,資源教室特教,資源教室一般,資源教室代理,資源教室小計,數理班特教,數理班一般,數理班代理,數理班小計,語文班特教,語文班一般,語文班代理,語文班小計,舞蹈班特教,舞蹈班一般,舞蹈班代理,舞蹈班小計,音樂班特教,音樂班一般,音樂班代理,音樂班小計,美術班特教,美術班一般,美術班代理,美術班小計,總計,
宜蘭縣,15,0,1,16,8,0,2,10,0,0,0,0,1,12,0,13,0,7,0,7,0,4,0,4,0,2,0,2,0,5,0,5,57,
基隆市,13,1,1,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,2,0,2,21,
臺北市,0,0,0,0,2,0,0,2,0,0,0,0,0,9,0,9,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,23,
新北市,50,0,2,52,5,0,1,6,3,22,0,25,0,1,0,1,0,1,0,1,0,0,0,0,0,11,0,11,1,2,1,4,100,
桃園縣,31,0,5,36,7,1,0,8,10,3,5,18,0,3,0,3,0,3,0,3,2,2,0,4,0,5,0,5,0,12,0,12,89,
新竹市,18,0,0,18,3,0,0,3,3,4,0,7,2,24,1,27,0,18,0,18,0,0,0,0,0,18,0,18,1,0,0,1,92,
新竹縣,10,0,0,10,2,0,0,2,5,3,2,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,23,
苗栗縣,11,0,0,11,2,0,0,2,1,7,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,26,
臺中市,68,0,3,71,17,1,1,19,6,21,6,33,0,9,0,9,0,10,0,10,2,0,0,2,0,9,0,9,0,9,0,9,162,
南投縣,23,0,7,30,5,0,1,6,0,0,0,0,0,3,0,3,0,2,0,2,0,0,0,0,0,3,0,3,0,0,0,0,44,
彰化縣,45,0,1,46,12,0,1,13,0,1,0,1,0,10,0,10,0,8,0,8,0,0,0,0,1,2,0,3,1,3,0,4,85,
雲林縣,15,0,1,16,2,0,0,2,3,7,4,14,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,64,
嘉義市,6,0,0,6,1,0,0,1,0,1,0,1,0,11,0,11,0,11,0,11,1,8,0,9,0,4,0,4,0,4,0,4,47,
嘉義縣,5,0,1,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
臺南市,38,1,2,41,16,0,1,17,4,12,0,16,0,9,0,9,1,7,0,8,3,2,0,5,0,10,0,10,4,7,0,11,117,
高雄市,11,0,0,11,2,0,0,2,10,12,0,22,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,48,
屏東縣,18,0,11,29,3,0,1,4,0,1,5,6,0,18,0,18,1,5,0,6,0,0,0,0,0,7,0,7,1,4,0,5,75,
台東縣,10,0,3,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,17,
花蓮縣,11,1,0,12,3,0,0,3,0,1,0,1,0,6,0,6,0,8,0,8,0,0,0,0,0,0,0,0,0,9,0,9,39,
澎湖縣,9,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,16,
金門縣,5,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
連江縣,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
總計,412,3,39,454,95,2,10,107,45,96,23,164,3,145,1,149,2,83,0,85,9,16,0,25,4,81,0,85,11,81,1,93,"1,162",
