縣市,特教班特教,特教班一般,特教班代理,特教班小計,資源班特教,資源班一般,資源班代理,資源班小計,資源教室特教,資源教室一般,資源教室代理,資源教室小計,數理班特教,數理班一般,數理班代理,數理班小計,語文班特教,語文班一般,語文班代理,語文班小計,舞蹈班特教,舞蹈班一般,舞蹈班代理,舞蹈班小計,音樂班特教,音樂班一般,音樂班代理,音樂班小計,美術班特教,美術班一般,美術班代理,美術班小計,總計,
宜蘭縣,15,0,0,15,9,0,2,11,0,0,0,0,0,15,0,15,0,7,0,7,0,4,0,4,0,2,0,2,0,5,0,5,59,
基隆市,12,1,1,14,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,0,3,23,
臺北市,0,0,0,0,1,0,1,2,0,0,0,0,0,10,0,10,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,24,
新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園縣,37,0,2,39,7,0,1,8,10,11,5,26,0,3,0,3,0,2,0,2,2,0,0,2,0,6,0,6,0,12,0,12,98,
新竹市,12,0,0,12,3,0,0,3,2,4,0,6,3,42,0,45,0,28,2,30,0,0,0,0,0,18,1,19,1,10,0,11,126,
新竹縣,11,0,0,11,2,0,0,2,5,5,2,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,26,
苗栗縣,12,0,1,13,2,0,0,2,2,11,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,36,
臺中市,68,0,4,72,21,1,0,22,6,16,13,35,0,15,0,15,0,13,0,13,2,0,0,2,0,7,0,7,0,8,0,8,174,
南投縣,24,0,7,31,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,43,
彰化縣,45,0,2,47,12,0,1,13,0,3,0,3,0,11,0,11,0,9,0,9,0,0,0,0,1,3,0,4,1,3,0,4,91,
雲林縣,15,0,1,16,4,0,0,4,4,9,2,15,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,68,
嘉義市,8,0,0,8,1,0,0,1,0,5,0,5,0,10,0,10,0,12,0,12,1,8,0,9,0,4,0,4,0,4,0,4,53,
嘉義縣,5,0,0,5,1,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
臺南市,39,1,1,41,18,0,1,19,4,14,1,19,0,11,0,11,1,10,0,11,3,2,0,5,0,10,0,10,4,7,0,11,127,
高雄市,12,0,0,12,3,0,0,3,11,118,6,135,0,9,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,166,
屏東縣,21,0,6,27,4,0,1,5,0,1,4,5,0,23,0,23,1,11,0,12,0,0,0,0,0,9,0,9,1,8,0,9,90,
臺東縣,11,0,1,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,17,
花蓮縣,13,1,1,15,3,0,0,3,0,0,0,0,0,20,0,20,0,8,0,8,0,0,0,0,0,5,0,5,0,9,0,9,60,
澎湖縣,9,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,17,
金門縣,5,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
連江縣,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
總計,374,3,28,405,102,1,7,110,44,199,38,281,3,193,0,196,2,103,2,107,9,14,0,23,4,77,1,82,11,99,1,111,"1,315",
