縣市,特教班特教,特教班一般,特教班代理,特教班小計,資源班特教,資源班一般,資源班代理,資源班小計,數理班特教,數理班一般,數理班代理,數理班小計,語文班特教,語文班一般,語文班代理,語文班小計,舞蹈班特教,舞蹈班一般,舞蹈班代理,舞蹈班小計,音樂班特教,音樂班一般,音樂班代理,音樂班小計,美術班特教,美術班一般,美術班代理,美術班小計,總計,
宜蘭縣,16,0,1,17,10,0,1,11,0,0,0,0,1,8,0,9,0,9,0,9,0,2,0,2,0,0,0,0,48,
基隆市,13,0,1,14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,2,20,
臺北市,0,0,0,0,4,0,1,5,0,16,0,16,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,33,
新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園市,37,0,4,41,10,0,2,12,0,2,0,2,0,1,0,1,2,0,0,2,0,8,0,8,0,8,0,8,74,
新竹市,12,0,0,12,4,0,0,4,1,22,0,23,0,11,0,11,0,0,0,0,0,0,0,0,1,7,0,8,58,
新竹縣,9,0,0,9,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,
苗栗縣,12,0,1,13,4,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,24,
臺中市,12,0,1,13,2,0,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
南投縣,26,0,2,28,4,0,1,5,0,3,0,3,0,1,0,1,0,0,0,0,0,3,0,3,0,2,0,2,42,
彰化縣,43,0,4,47,12,0,1,13,0,6,0,6,0,6,0,6,0,0,0,0,0,5,0,5,1,3,0,4,81,
雲林縣,17,0,1,18,4,0,1,5,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,38,
嘉義市,11,0,1,12,3,0,2,5,0,12,0,12,0,13,0,13,1,7,0,8,0,6,0,6,0,7,0,7,63,
嘉義縣,6,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
臺南市,38,1,1,40,20,0,0,20,0,13,0,13,1,11,0,12,3,0,0,3,1,10,0,11,4,7,0,11,110,
高雄市,12,0,0,12,4,0,1,5,0,9,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,1,31,
屏東縣,24,0,4,28,3,0,3,6,1,18,0,19,0,9,0,9,0,0,0,0,0,9,0,9,1,7,0,8,79,
臺東縣,11,0,2,13,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,20,
花蓮縣,13,1,1,15,4,0,0,4,0,15,0,15,0,10,0,10,0,0,0,0,0,3,0,3,0,6,0,6,53,
澎湖縣,8,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,15,
金門縣,5,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
連江縣,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
總計,325,2,25,352,98,0,18,116,2,129,0,131,2,73,0,75,7,16,0,23,4,56,0,60,10,66,2,78,835,
