縣市,特教班特教,特教班一般,特教班代理,特教班小計,資源班特教,資源班一般,資源班代理,資源班小計,數理班特教,數理班一般,數理班代理,數理班小計,語文班特教,語文班一般,語文班代理,語文班小計,舞蹈班特教,舞蹈班一般,舞蹈班代理,舞蹈班小計,音樂班特教,音樂班一般,音樂班代理,音樂班小計,美術班特教,美術班一般,美術班代理,美術班小計,總計,
宜蘭縣,16,0,1,17,10,0,1,11,0,0,0,0,0,9,0,9,0,9,0,9,0,2,0,2,0,0,0,0,48,
基隆市,14,0,1,15,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,2,21,
臺北市,0,0,0,0,4,0,1,5,0,15,0,15,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,32,
新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新竹市,12,0,0,12,4,0,2,6,1,23,0,24,0,5,0,5,0,0,0,0,0,2,0,2,1,6,0,7,56,
新竹縣,8,0,2,10,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,
苗栗縣,12,0,1,13,5,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,24,
臺中市,12,0,3,15,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,
南投縣,27,0,1,28,4,0,1,5,0,3,0,3,0,1,0,1,0,0,0,0,0,3,0,3,0,2,1,3,43,
彰化縣,43,0,3,46,13,0,1,14,0,7,0,7,0,7,0,7,0,0,0,0,0,5,0,5,1,3,0,4,83,
雲林縣,17,0,1,18,4,0,2,6,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,42,
嘉義市,12,0,0,12,5,0,1,6,0,12,0,12,0,13,0,13,1,4,0,5,0,5,0,5,0,6,0,6,59,
嘉義縣,6,0,0,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
臺南市,40,0,2,42,18,0,6,24,0,14,0,14,1,9,0,10,3,0,0,3,1,10,0,11,4,7,0,11,115,
高雄市,12,0,0,12,3,0,1,4,1,7,0,8,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,32,
屏東縣,24,0,3,27,3,0,3,6,0,18,0,18,0,9,0,9,0,0,0,0,0,8,0,8,1,7,0,8,76,
臺東縣,12,0,1,13,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,19,
花蓮縣,13,1,0,14,4,0,0,4,0,19,0,19,0,9,0,9,0,0,0,0,0,4,0,4,0,9,0,9,59,
澎湖縣,7,0,1,8,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,3,0,3,17,
金門縣,5,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
連江縣,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
總計,292,1,21,314,90,0,24,114,2,130,0,132,1,65,0,66,5,14,0,19,4,49,0,53,10,65,1,76,774,
