縣市,特教班特教,特教班一般,特教班代理,特教班小計,資源班特教,資源班一般,資源班代理,資源班小計,數理班特教,數理班一般,數理班代理,數理班小計,語文班特教,語文班一般,語文班代理,語文班小計,舞蹈班特教,舞蹈班一般,舞蹈班代理,舞蹈班小計,音樂班特教,音樂班一般,音樂班代理,音樂班小計,美術班特教,美術班一般,美術班代理,美術班小計,總計,
宜蘭縣,16,0,1,17,10,0,1,11,0,0,0,0,0,9,0,9,1,8,0,9,0,2,0,2,0,0,0,0,48,
基隆市,13,0,1,14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,2,20,
臺北市,0,0,0,0,4,0,0,4,0,9,0,9,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,25,
新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園市,37,0,2,39,10,0,0,10,0,3,0,3,0,1,0,1,2,0,0,2,0,6,0,6,0,8,0,8,69,
新竹市,12,0,1,13,4,0,0,4,0,17,0,17,0,13,0,13,0,0,0,0,0,3,0,3,1,8,0,9,59,
新竹縣,11,0,0,11,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,
苗栗縣,12,0,1,13,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,23,
臺中市,70,0,4,74,22,0,0,22,0,12,0,12,0,11,0,11,2,0,0,2,0,7,1,8,0,9,0,9,138,
南投縣,25,0,3,28,4,0,1,5,0,3,0,3,0,1,0,1,0,0,0,0,0,3,0,3,0,2,0,2,42,
彰化縣,44,0,5,49,13,0,1,14,0,5,0,5,0,5,0,5,0,0,0,0,0,5,0,5,1,3,0,4,82,
雲林縣,16,0,1,17,4,1,1,6,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,43,
嘉義市,12,0,0,12,3,0,0,3,0,12,0,12,0,13,0,13,1,7,0,8,0,6,0,6,0,7,0,7,61,
嘉義縣,6,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
臺南市,37,1,1,39,19,0,1,20,0,13,0,13,1,12,0,13,3,0,0,3,0,11,0,11,4,6,0,10,109,
高雄市,12,0,0,12,4,0,0,4,0,9,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,32,
屏東縣,23,0,4,27,3,0,1,4,0,24,0,24,1,10,0,11,0,0,0,0,0,12,0,12,1,8,0,9,87,
臺東縣,11,0,1,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,18,
花蓮縣,13,1,1,15,2,0,0,2,0,16,0,16,0,6,0,6,0,0,0,0,0,3,0,3,0,8,0,8,50,
澎湖縣,8,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,16,
金門縣,5,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
連江縣,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
總計,383,2,26,411,114,1,9,124,0,140,0,140,2,84,0,86,10,15,0,25,3,68,1,72,10,81,2,93,951,
