縣市,特教班特教,特教班一般,特教班代理,特教班小計,資源班特教,資源班一般,資源班代理,資源班小計,資源教室特教,資源教室一般,資源教室代理,資源教室小計,數理班特教,數理班一般,數理班代理,數理班小計,語文班特教,語文班一般,語文班代理,語文班小計,舞蹈班特教,舞蹈班一般,舞蹈班代理,舞蹈班小計,音樂班特教,音樂班一般,音樂班代理,音樂班小計,美術班特教,美術班一般,美術班代理,美術班小計,總計,
宜蘭縣,16,0,0,16,9,0,0,9,0,0,0,0,0,15,0,15,0,7,0,7,0,4,0,4,0,2,0,2,0,5,0,5,58,
基隆市,13,1,0,14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,19,
臺北市,0,0,0,0,1,0,1,2,0,0,0,0,0,9,0,9,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,23,
新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園縣,37,0,3,40,8,1,1,10,13,4,4,21,0,3,0,3,0,2,0,2,2,0,0,2,0,6,0,6,0,10,0,10,94,
新竹市,12,0,0,12,2,0,1,3,1,8,2,11,2,47,1,50,0,32,0,32,0,0,0,0,0,14,0,14,1,10,0,11,133,
新竹縣,11,0,0,11,2,0,0,2,5,3,2,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,24,
苗栗縣,11,0,2,13,2,0,0,2,2,22,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,48,
臺中市,69,0,3,72,21,0,0,21,4,14,7,25,0,13,0,13,0,13,0,13,2,0,0,2,0,5,1,6,0,9,0,9,161,
南投縣,25,0,7,32,5,0,0,5,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,50,
彰化縣,46,0,2,48,11,0,1,12,0,4,0,4,0,3,0,3,0,3,0,3,0,0,0,0,1,3,0,4,1,3,0,4,78,
雲林縣,16,0,0,16,3,0,0,3,3,8,4,15,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
嘉義市,10,0,0,10,3,0,0,3,0,6,0,6,0,10,0,10,0,10,0,10,1,8,0,9,0,4,0,4,0,4,0,4,56,
嘉義縣,6,0,0,6,1,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
臺南市,38,1,1,40,19,0,1,20,3,15,2,20,0,10,0,10,1,9,0,10,3,2,0,5,0,11,0,11,4,4,0,8,124,
高雄市,12,0,0,12,3,0,1,4,9,15,5,29,0,9,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,62,
屏東縣,20,0,7,27,3,0,1,4,0,0,5,5,0,23,0,23,1,11,0,12,0,0,0,0,0,3,0,3,1,8,0,9,83,
臺東縣,11,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,16,
花蓮縣,13,1,1,15,2,0,1,3,0,0,0,0,0,19,0,19,0,8,0,8,0,0,0,0,0,4,0,4,0,9,0,9,58,
澎湖縣,9,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,17,
金門縣,4,0,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
連江縣,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
總計,379,3,28,410,101,1,8,110,40,101,36,177,2,180,1,183,2,101,0,103,9,14,0,23,4,64,1,69,11,85,1,97,"1,172",
